"C(83; 1, 6, 27, 40)";3;2,41463;332;50026672
"C(83; 1, 7, 12, 22)";3;2,41463;332;50026672
"C(83; 1, 7, 17, 20)";3;2,41463;332;50026672
"C(83; 1, 7, 17, 29)";3;2,41463;332;50026672
"C(83; 1, 8, 12, 22)";3;2,41463;332;50026672
"C(83; 1, 9, 13, 38)";3;2,41463;332;50026672
"C(83; 1, 9, 16, 20)";3;2,41463;332;50026672
"C(83; 1, 9, 16, 22)";3;2,41463;332;50026672
"C(83; 1, 9, 23, 26)";3;2,41463;332;50026672
"C(83; 1, 9, 29, 40)";3;2,41463;332;50026672
"C(83; 1, 10, 14, 22)";3;2,41463;332;50026672
"C(83; 1, 10, 14, 33)";3;2,41463;332;50026672
"C(83; 1, 10, 16, 23)";3;2,41463;332;50026672
"C(83; 1, 11, 18, 26)";3;2,41463;332;50026672
"C(83; 1, 12, 15, 21)";3;2,41463;332;50026672
"C(83; 1, 12, 17, 38)";3;2,41463;332;50026672
"C(83; 1, 12, 18, 39)";3;2,41463;332;50026672
"C(83; 1, 12, 20, 27)";3;2,41463;332;50026672
"C(83; 1, 12, 33, 40)";3;2,41463;332;50026672
"C(83; 1, 13, 16, 21)";3;2,41463;332;50026672
"C(83; 1, 13, 16, 22)";3;2,41463;332;50026672
"C(83; 1, 13, 17, 24)";3;2,41463;332;50026672
"C(83; 1, 13, 18, 21)";3;2,41463;332;50026672
"C(83; 1, 13, 22, 33)";3;2,41463;332;50026672
"C(83; 1, 14, 18, 24)";3;2,41463;332;50026672
"C(83; 1, 14, 19, 30)";3;2,41463;332;50026672
"C(83; 1, 14, 20, 30)";3;2,41463;332;50026672
"C(83; 1, 14, 21, 37)";3;2,41463;332;50026672
"C(83; 1, 14, 24, 32)";3;2,41463;332;50026672
"C(83; 1, 15, 21, 25)";3;2,41463;332;50026672
"C(83; 1, 15, 22, 25)";3;2,41463;332;50026672
"C(83; 1, 16, 22, 36)";3;2,41463;332;50026672
"C(83; 1, 16, 23, 27)";3;2,41463;332;50026672
"C(83; 1, 17, 21, 27)";3;2,41463;332;50026672
"C(83; 1, 17, 25, 38)";3;2,41463;332;50026672
"C(83; 1, 17, 26, 36)";3;2,41463;332;50026672
"C(83; 1, 17, 27, 31)";3;2,41463;332;50026672
"C(83; 1, 18, 30, 40)";3;2,41463;332;50026672
"C(83; 1, 18, 31, 40)";3;2,41463;332;50026672
"C(83; 1, 19, 23, 29)";3;2,41463;332;50026672
"C(83; 1, 19, 24, 33)";3;2,41463;332;50026672
"C(83; 1, 20, 24, 33)";3;2,41463;332;50026672
"C(83; 1, 20, 26, 35)";3;2,41463;332;50026672
"C(83; 1, 20, 34, 38)";3;2,41463;332;50026672
"C(83; 1, 20, 35, 38)";3;2,41463;332;50026672
"C(83; 1, 21, 29, 36)";3;2,41463;332;50026672
"C(83; 1, 21, 30, 36)";3;2,41463;332;50026672
"C(83; 1, 21, 33, 36)";3;2,41463;332;50026672
"C(83; 1, 23, 32, 40)";3;2,41463;332;50026672
"C(83; 1, 24, 31, 39)";3;2,41463;332;50026672
"C(83; 1, 26, 33, 37)";3;2,41463;332;50026672
"C(83; 1, 26, 36, 40)";3;2,41463;332;50026672
"C(83; 1, 27, 31, 39)";3;2,41463;332;50026672
"C(83; 1, 27, 34, 37)";3;2,41463;332;50026672
"C(83; 1, 27, 34, 40)";3;2,41463;332;50026672
"C(83; 1, 29, 32, 39)";3;2,41463;332;50026672
"C(83; 1, 30, 34, 40)";3;2,41463;332;50026672
