"C(71; 1, 4, 13, 19)";3;2,31429;284;25750434
"C(71; 1, 6, 9, 20)";3;2,31429;284;25750434
"C(71; 1, 7, 10, 22)";3;2,31429;284;25750434
"C(71; 1, 9, 12, 16)";3;2,31429;284;25750434
"C(71; 1, 9, 13, 16)";3;2,31429;284;25750434
"C(71; 1, 9, 13, 20)";3;2,31429;284;25750434
"C(71; 1, 9, 16, 20)";3;2,31429;284;25750434
"C(71; 1, 10, 13, 17)";3;2,31429;284;25750434
"C(71; 1, 10, 13, 18)";3;2,31429;284;25750434
"C(71; 1, 10, 15, 32)";3;2,31429;284;25750434
"C(71; 1, 10, 17, 23)";3;2,31429;284;25750434
"C(71; 1, 10, 25, 29)";3;2,31429;284;25750434
"C(71; 1, 11, 14, 18)";3;2,31429;284;25750434
"C(71; 1, 11, 15, 18)";3;2,31429;284;25750434
"C(71; 1, 12, 15, 19)";3;2,31429;284;25750434
"C(71; 1, 12, 15, 21)";3;2,31429;284;25750434
"C(71; 1, 12, 16, 19)";3;2,31429;284;25750434
"C(71; 1, 12, 18, 32)";3;2,31429;284;25750434
"C(71; 1, 12, 18, 33)";3;2,31429;284;25750434
"C(71; 1, 12, 21, 27)";3;2,31429;284;25750434
"C(71; 1, 13, 16, 20)";3;2,31429;284;25750434
"C(71; 1, 13, 16, 22)";3;2,31429;284;25750434
"C(71; 1, 13, 18, 21)";3;2,31429;284;25750434
"C(71; 1, 13, 19, 22)";3;2,31429;284;25750434
"C(71; 1, 13, 20, 23)";3;2,31429;284;25750434
"C(71; 1, 14, 17, 22)";3;2,31429;284;25750434
"C(71; 1, 14, 18, 23)";3;2,31429;284;25750434
"C(71; 1, 14, 21, 31)";3;2,31429;284;25750434
"C(71; 1, 14, 23, 30)";3;2,31429;284;25750434
"C(71; 1, 15, 19, 25)";3;2,31429;284;25750434
"C(71; 1, 15, 19, 27)";3;2,31429;284;25750434
"C(71; 1, 15, 20, 23)";3;2,31429;284;25750434
"C(71; 1, 15, 23, 27)";3;2,31429;284;25750434
"C(71; 1, 17, 23, 28)";3;2,31429;284;25750434
"C(71; 1, 17, 26, 32)";3;2,31429;284;25750434
"C(71; 1, 17, 29, 32)";3;2,31429;284;25750434
"C(71; 1, 18, 22, 29)";3;2,31429;284;25750434
"C(71; 1, 18, 25, 31)";3;2,31429;284;25750434
"C(71; 1, 19, 25, 29)";3;2,31429;284;25750434
"C(71; 1, 19, 27, 31)";3;2,31429;284;25750434
"C(71; 1, 20, 23, 33)";3;2,31429;284;25750434
"C(71; 1, 20, 27, 33)";3;2,31429;284;25750434
"C(71; 1, 21, 26, 34)";3;2,31429;284;25750434
"C(71; 1, 21, 27, 31)";3;2,31429;284;25750434
"C(71; 1, 23, 28, 31)";3;2,31429;284;25750434
"C(71; 1, 23, 28, 32)";3;2,31429;284;25750434
"C(71; 1, 23, 29, 32)";3;2,31429;284;25750434
"C(71; 1, 23, 29, 33)";3;2,31429;284;25750434
"C(71; 1, 23, 30, 33)";3;2,31429;284;25750434
"C(71; 1, 25, 30, 34)";3;2,31429;284;25750434
"C(71; 1, 26, 29, 33)";3;2,31429;284;25750434
