"C(87; 1, 4, 17, 24)";3;2,44186;348;62163080
"C(87; 1, 9, 15, 20)";3;2,44186;348;62163080
"C(87; 3, 8, 12, 37)";3;2,44186;348;62163080
"C(87; 3, 8, 15, 25)";3;2,44186;348;62163080
"C(87; 3, 8, 22, 26)";3;2,44186;348;62163080
"C(87; 3, 8, 23, 27)";3;2,44186;348;62163080
"C(87; 3, 8, 25, 26)";3;2,44186;348;62163080
"C(87; 3, 8, 25, 32)";3;2,44186;348;62163080
"C(87; 3, 8, 26, 33)";3;2,44186;348;62163080
"C(87; 3, 8, 31, 35)";3;2,44186;348;62163080
"C(87; 3, 10, 14, 22)";3;2,44186;348;62163080
"C(87; 3, 10, 15, 38)";3;2,44186;348;62163080
"C(87; 3, 10, 15, 43)";3;2,44186;348;62163080
"C(87; 3, 10, 18, 34)";3;2,44186;348;62163080
"C(87; 7, 11, 12, 27)";3;2,44186;348;62163080
"C(87; 7, 11, 12, 28)";3;2,44186;348;62163080
"C(87; 7, 11, 24, 30)";3;2,44186;348;62163080
"C(87; 7, 11, 28, 30)";3;2,44186;348;62163080
"C(87; 8, 12, 13, 15)";3;2,44186;348;62163080
"C(87; 8, 12, 15, 17)";3;2,44186;348;62163080
"C(87; 9, 10, 13, 15)";3;2,44186;348;62163080
"C(87; 9, 10, 13, 24)";3;2,44186;348;62163080
"C(87; 9, 10, 14, 17)";3;2,44186;348;62163080
"C(87; 9, 12, 13, 19)";3;2,44186;348;62163080
"C(87; 9, 12, 13, 20)";3;2,44186;348;62163080
"C(87; 10, 11, 16, 18)";3;2,44186;348;62163080
"C(87; 10, 11, 18, 24)";3;2,44186;348;62163080
"C(87; 10, 11, 18, 34)";3;2,44186;348;62163080
"C(87; 11, 14, 15, 35)";3;2,44186;348;62163080
"C(87; 11, 16, 23, 36)";3;2,44186;348;62163080
"C(87; 11, 17, 20, 21)";3;2,44186;348;62163080
"C(87; 11, 18, 24, 32)";3;2,44186;348;62163080
"C(87; 11, 18, 30, 31)";3;2,44186;348;62163080
"C(87; 12, 13, 17, 32)";3;2,44186;348;62163080
"C(87; 12, 17, 18, 20)";3;2,44186;348;62163080
"C(87; 13, 15, 16, 20)";3;2,44186;348;62163080
"C(87; 13, 15, 21, 31)";3;2,44186;348;62163080
"C(87; 13, 17, 23, 25)";3;2,44186;348;62163080
"C(87; 13, 18, 20, 30)";3;2,44186;348;62163080
"C(87; 13, 19, 21, 35)";3;2,44186;348;62163080
"C(87; 13, 19, 23, 24)";3;2,44186;348;62163080
"C(87; 14, 17, 21, 30)";3;2,44186;348;62163080
"C(87; 14, 17, 33, 41)";3;2,44186;348;62163080
"C(87; 15, 16, 25, 27)";3;2,44186;348;62163080
"C(87; 15, 19, 21, 37)";3;2,44186;348;62163080
"C(87; 15, 19, 27, 28)";3;2,44186;348;62163080
"C(87; 15, 25, 26, 28)";3;2,44186;348;62163080
"C(87; 15, 25, 33, 38)";3;2,44186;348;62163080
"C(87; 16, 17, 21, 30)";3;2,44186;348;62163080
"C(87; 16, 18, 30, 38)";3;2,44186;348;62163080
"C(87; 17, 18, 27, 31)";3;2,44186;348;62163080
"C(87; 17, 21, 26, 37)";3;2,44186;348;62163080
"C(87; 17, 22, 23, 37)";3;2,44186;348;62163080
"C(87; 17, 22, 28, 30)";3;2,44186;348;62163080
"C(87; 17, 24, 25, 30)";3;2,44186;348;62163080
"C(87; 18, 20, 21, 32)";3;2,44186;348;62163080
"C(87; 18, 22, 24, 31)";3;2,44186;348;62163080
"C(87; 18, 22, 28, 30)";3;2,44186;348;62163080
"C(87; 18, 22, 28, 39)";3;2,44186;348;62163080
"C(87; 18, 24, 26, 40)";3;2,44186;348;62163080
"C(87; 18, 24, 31, 41)";3;2,44186;348;62163080
"C(87; 18, 28, 30, 34)";3;2,44186;348;62163080
"C(87; 18, 30, 31, 40)";3;2,44186;348;62163080
"C(87; 18, 30, 34, 43)";3;2,44186;348;62163080
"C(87; 18, 32, 38, 39)";3;2,44186;348;62163080
"C(87; 19, 20, 32, 41)";3;2,44186;348;62163080
"C(87; 19, 24, 35, 42)";3;2,44186;348;62163080
"C(87; 19, 27, 28, 42)";3;2,44186;348;62163080
"C(87; 19, 27, 31, 36)";3;2,44186;348;62163080
"C(87; 19, 27, 32, 39)";3;2,44186;348;62163080
"C(87; 19, 31, 36, 40)";3;2,44186;348;62163080
"C(87; 19, 36, 37, 42)";3;2,44186;348;62163080
"C(87; 19, 36, 39, 43)";3;2,44186;348;62163080
"C(87; 20, 22, 26, 38)";3;2,44186;348;62163080
"C(87; 20, 22, 30, 31)";3;2,44186;348;62163080
"C(87; 21, 23, 26, 30)";3;2,44186;348;62163080
"C(87; 21, 23, 30, 35)";3;2,44186;348;62163080
"C(87; 21, 38, 40, 41)";3;2,44186;348;62163080
"C(87; 22, 24, 25, 33)";3;2,44186;348;62163080
"C(87; 22, 31, 33, 36)";3;2,44186;348;62163080
"C(87; 22, 37, 38, 42)";3;2,44186;348;62163080
"C(87; 23, 26, 27, 39)";3;2,44186;348;62163080
"C(87; 23, 31, 34, 35)";3;2,44186;348;62163080
"C(87; 23, 36, 39, 40)";3;2,44186;348;62163080
"C(87; 23, 36, 40, 42)";3;2,44186;348;62163080
"C(87; 24, 25, 28, 41)";3;2,44186;348;62163080
"C(87; 24, 26, 40, 41)";3;2,44186;348;62163080
"C(87; 24, 27, 40, 41)";3;2,44186;348;62163080
"C(87; 24, 32, 33, 35)";3;2,44186;348;62163080
"C(87; 25, 33, 34, 36)";3;2,44186;348;62163080
"C(87; 25, 36, 39, 43)";3;2,44186;348;62163080
"C(87; 25, 38, 40, 41)";3;2,44186;348;62163080
"C(87; 26, 27, 31, 37)";3;2,44186;348;62163080
"C(87; 26, 33, 34, 37)";3;2,44186;348;62163080
"C(87; 26, 33, 41, 42)";3;2,44186;348;62163080
"C(87; 27, 28, 35, 39)";3;2,44186;348;62163080
"C(87; 27, 35, 41, 42)";3;2,44186;348;62163080
"C(87; 30, 31, 35, 37)";3;2,44186;348;62163080
"C(87; 31, 32, 35, 37)";3;2,44186;348;62163080
"C(87; 31, 33, 34, 38)";3;2,44186;348;62163080
