"C(460; 1, 39, 54)";7;5,21351;1380;14377551
"C(460; 2, 17, 203)";7;5,21351;1380;1116876454
"C(460; 2, 27, 213)";7;5,21351;1380;1116876454
"C(460; 3, 117, 162)";7;5,21351;1380;1116876454
"C(460; 6, 51, 149)";7;5,21351;1380;1116876454
"C(460; 6, 81, 179)";7;5,21351;1380;1116876454
"C(460; 9, 26, 109)";7;5,21351;1380;1116876454
"C(460; 11, 31, 134)";7;5,21351;1380;1116876454
"C(460; 11, 86, 189)";7;5,21351;1380;1116876454
"C(460; 13, 47, 218)";7;5,21351;1380;1116876454
"C(460; 14, 41, 119)";7;5,21351;1380;1116876454
"C(460; 17, 83, 118)";7;5,21351;1380;1116876454
"C(460; 18, 77, 217)";7;5,21351;1380;1116876454
"C(460; 19, 106, 179)";7;5,21351;1380;1116876454
"C(460; 19, 186, 201)";7;5,21351;1380;1116876454
"C(460; 21, 101, 214)";7;5,21351;1380;1116876454
"C(460; 22, 43, 163)";7;5,21351;1380;1116876454
"C(460; 27, 78, 133)";7;5,21351;1380;1116876454
"C(460; 29, 66, 129)";7;5,21351;1380;1116876454
"C(460; 29, 186, 211)";7;5,21351;1380;1116876454
"C(460; 33, 107, 202)";7;5,21351;1380;1116876454
"C(460; 34, 171, 229)";7;5,21351;1380;1116876454
"C(460; 37, 63, 158)";7;5,21351;1380;1116876454
"C(460; 38, 53, 93)";7;5,21351;1380;1116876454
"C(460; 38, 137, 177)";7;5,21351;1380;1116876454
"C(460; 39, 141, 194)";7;5,21351;1380;1116876454
"C(460; 41, 86, 219)";7;5,21351;1380;1116876454
"C(460; 42, 103, 123)";7;5,21351;1380;1116876454
"C(460; 43, 82, 223)";7;5,21351;1380;1116876454
"C(460; 49, 71, 114)";7;5,21351;1380;1116876454
"C(460; 49, 131, 174)";7;5,21351;1380;1116876454
"C(460; 53, 102, 227)";7;5,21351;1380;1116876454
"C(460; 57, 98, 143)";7;5,21351;1380;1116876454
"C(460; 58, 137, 197)";7;5,21351;1380;1116876454
"C(460; 59, 166, 199)";7;5,21351;1380;1116876454
"C(460; 61, 74, 79)";7;5,21351;1380;1116876454
"C(460; 62, 67, 147)";7;5,21351;1380;1116876454
"C(460; 62, 83, 163)";7;5,21351;1380;1116876454
"C(460; 63, 157, 182)";7;5,21351;1380;1116876454
"C(460; 73, 167, 182)";7;5,21351;1380;1116876454
"C(460; 74, 151, 169)";7;5,21351;1380;1116876454
"C(460; 79, 126, 139)";7;5,21351;1380;1116876454
"C(460; 87, 98, 173)";7;5,21351;1380;1116876454
"C(460; 89, 191, 194)";7;5,21351;1380;1116876454
"C(460; 89, 206, 209)";7;5,21351;1380;1116876454
"C(460; 91, 131, 146)";7;5,21351;1380;1116876454
"C(460; 94, 109, 111)";7;5,21351;1380;1116876454
"C(460; 94, 119, 121)";7;5,21351;1380;1116876454
"C(460; 97, 103, 178)";7;5,21351;1380;1116876454
"C(460; 99, 139, 146)";7;5,21351;1380;1116876454
"C(460; 113, 122, 193)";7;5,21351;1380;1116876454
"C(460; 113, 162, 227)";7;5,21351;1380;1116876454
"C(460; 114, 159, 181)";7;5,21351;1380;1116876454
"C(460; 118, 147, 213)";7;5,21351;1380;1116876454
"C(460; 123, 197, 202)";7;5,21351;1380;1116876454
"C(460; 127, 133, 178)";7;5,21351;1380;1116876454
"C(460; 134, 199, 219)";7;5,21351;1380;1116876454
"C(460; 142, 153, 173)";7;5,21351;1380;1116876454
"C(460; 143, 157, 198)";7;5,21351;1380;1116876454
"C(460; 149, 169, 226)";7;5,21351;1380;1116876454
"C(460; 154, 159, 221)";7;5,21351;1380;1116876454
"C(460; 158, 167, 193)";7;5,21351;1380;1116876454
"C(460; 183, 217, 218)";7;5,21351;1380;1116876454
"C(460; 183, 222, 223)";7;5,21351;1380;1116876454
