Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
17;C(17, 1, 2, 3, 4, 5);2;1.375;0;85
17;C(17, 1, 2, 3, 4, 6);2;1.375;0;85
17;C(17, 1, 2, 3, 4, 7);2;1.375;0;85
17;C(17, 1, 2, 3, 4, 8);2;1.375;0;85
17;C(17, 1, 2, 3, 5, 6);2;1.375;0;85
17;C(17, 1, 2, 3, 5, 7);2;1.375;0;85
17;C(17, 1, 2, 3, 5, 8);2;1.375;0;85
17;C(17, 1, 2, 3, 6, 7);2;1.375;0;85
17;C(17, 1, 2, 3, 6, 8);2;1.375;0;85
17;C(17, 1, 2, 3, 7, 8);2;1.375;0;85
17;C(17, 1, 2, 4, 5, 6);2;1.375;0;85
17;C(17, 1, 2, 4, 5, 7);2;1.375;0;85
17;C(17, 1, 2, 4, 5, 8);2;1.375;0;85
17;C(17, 1, 2, 4, 6, 7);2;1.375;0;85
17;C(17, 1, 2, 4, 6, 8);2;1.375;0;85
17;C(17, 1, 2, 4, 7, 8);2;1.375;0;85
17;C(17, 1, 2, 5, 6, 8);2;1.375;0;85
17;C(17, 1, 2, 5, 6, 7);2;1.375;0;85
17;C(17, 1, 2, 5, 7, 8);2;1.375;0;85
17;C(17, 1, 3, 4, 5, 6);2;1.375;0;85
17;C(17, 1, 2, 6, 7, 8);2;1.375;0;85
17;C(17, 1, 3, 4, 5, 8);2;1.375;0;85
17;C(17, 1, 3, 4, 5, 7);2;1.375;0;85
17;C(17, 1, 3, 4, 6, 8);2;1.375;0;85
17;C(17, 1, 3, 4, 6, 7);2;1.375;0;85
17;C(17, 1, 3, 4, 7, 8);2;1.375;0;85
17;C(17, 1, 3, 5, 6, 7);2;1.375;0;85
17;C(17, 1, 3, 5, 6, 8);2;1.375;0;85
17;C(17, 1, 3, 5, 7, 8);2;1.375;0;85
17;C(17, 1, 3, 6, 7, 8);2;1.375;0;85
17;C(17, 1, 4, 5, 6, 7);2;1.375;0;85
17;C(17, 1, 4, 5, 6, 8);2;1.375;0;85
17;C(17, 1, 4, 5, 7, 8);2;1.375;0;85
17;C(17, 1, 4, 6, 7, 8);2;1.375;0;85
17;C(17, 1, 5, 6, 7, 8);2;1.375;0;85
17;C(17, 2, 5, 6, 7, 8);2;1.375;0;85
17;C(17, 3, 5, 6, 7, 8);2;1.375;0;85
17;C(17, 4, 5, 6, 7, 8);2;1.375;0;85
