N,K,S,diameter,averageShortestPathLength,edges
231,4,C(231; 1; 7; 48; 66),5,3.243478260869565,924
231,4,C(231; 1; 8; 43; 81),5,3.243478260869565,924
231,4,C(231; 1; 9; 33; 70),5,3.243478260869565,924
231,4,C(231; 1; 9; 84; 97),5,3.243478260869565,924
231,4,C(231; 1; 11; 39; 108),5,3.243478260869565,924
231,4,C(231; 1; 12; 42; 50),5,3.243478260869565,924
231,4,C(231; 1; 12; 80; 99),5,3.243478260869565,924
231,4,C(231; 1; 12; 87; 95),5,3.243478260869565,924
231,4,C(231; 1; 15; 35; 102),5,3.243478260869565,924
231,4,C(231; 1; 18; 26; 113),5,3.243478260869565,924
231,4,C(231; 1; 18; 43; 113),5,3.243478260869565,924
231,4,C(231; 1; 19; 30; 74),5,3.243478260869565,924
231,4,C(231; 1; 20; 45; 54),5,3.243478260869565,924
231,4,C(231; 1; 20; 88; 112),5,3.243478260869565,924
231,4,C(231; 1; 21; 49; 108),5,3.243478260869565,924
231,4,C(231; 1; 22; 74; 108),5,3.243478260869565,924
231,4,C(231; 1; 24; 33; 62),5,3.243478260869565,924
231,4,C(231; 1; 26; 33; 81),5,3.243478260869565,924
231,4,C(231; 1; 26; 74; 88),5,3.243478260869565,924
231,4,C(231; 1; 29; 39; 92),5,3.243478260869565,924
231,4,C(231; 1; 30; 35; 44),5,3.243478260869565,924
231,4,C(231; 1; 31; 54; 80),5,3.243478260869565,924
231,4,C(231; 1; 32; 55; 93),5,3.243478260869565,924
231,4,C(231; 1; 33; 41; 60),5,3.243478260869565,924
231,4,C(231; 1; 36; 44; 103),5,3.243478260869565,924
231,4,C(231; 1; 39; 50; 84),5,3.243478260869565,924
231,4,C(231; 1; 39; 65; 110),5,3.243478260869565,924
231,4,C(231; 1; 39; 82; 92),5,3.243478260869565,924
231,4,C(231; 1; 42; 55; 75),5,3.243478260869565,924
231,4,C(231; 1; 49; 102; 112),5,3.243478260869565,924
231,4,C(231; 1; 55; 94; 103),5,3.243478260869565,924
231,4,C(231; 1; 60; 72; 104),5,3.243478260869565,924
231,4,C(231; 1; 63; 87; 97),5,3.243478260869565,924
231,4,C(231; 1; 69; 102; 107),5,3.243478260869565,924
231,4,C(231; 1; 73; 89; 111),5,3.243478260869565,924
231,4,C(231; 1; 80; 86; 110),5,3.243478260869565,924
231,4,C(231; 1; 87; 103; 109),5,3.243478260869565,924
231,4,C(231; 1; 88; 98; 104),5,3.243478260869565,924
