Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(135; 1, 7, 51)";5;3,41791;405;122629
"C(135; 1, 7, 55)";5;3,41791;405;122629
"C(135; 1, 9, 56)";5;3,41791;405;122629
"C(135; 1, 12, 58)";5;3,41791;405;122629
"C(135; 1, 16, 41)";5;3,41791;405;122629
"C(135; 1, 19, 31)";5;3,41791;405;122629
"C(135; 1, 23, 31)";5;3,41791;405;122629
"C(135; 1, 28, 47)";5;3,41791;405;122629
"C(135; 1, 36, 41)";5;3,41791;405;122629
"C(135; 1, 49, 56)";5;3,41791;405;122629
"C(135; 1, 50, 58)";5;3,41791;405;122629
"C(135; 1, 53, 61)";5;3,41791;405;122629
"C(135; 1, 56, 61)";5;3,41791;405;122629
